rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.3390/machines10060465,Constrained Image-Based Visual Servoing of Robot Manipulator with Third-Order Sliding-Mode Observer,2022,Machines,https://doi.org/10.3390/machines10060465,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/robotics14050066,Hybrid Deep Learning Framework for Eye-in-Hand Visual Control Systems,2025,Robotics,https://doi.org/10.3390/robotics14050066,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1109/tmech.2009.2034740,A Hybrid Visual Servo Controller for Robust Grasping by Wheeled Mobile Robots,2009,IEEE/ASME Transactions on Mechatronics,https://doi.org/10.1109/tmech.2009.2034740,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.62802/7sgy8455,Hybrid Quantum–Classical Algorithms for High-Precision Sensor Fusion in Robotics Applications,2025,Human Computer Interaction,https://doi.org/10.62802/7sgy8455,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.3390/electronics8060605,Picking Robot Visual Servo Control Based on Modified Fuzzy Neural Network Sliding Mode Algorithms,2019,Electronics,https://doi.org/10.3390/electronics8060605,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1002/asjc.3208,Adaptive visual servoing for the robot manipulator with extreme learning machine and reinforcement learning,2024,Asian Journal of Control,https://doi.org/10.1002/asjc.3208,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1016/s0921-8890(99)00057-3,Hybrid visual servoing: A combination of nonlinear control and linear vision,1999,Robotics and Autonomous Systems,https://doi.org/10.1016/s0921-8890(99)00057-3,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.54254/2753-8818/41/2024ch0168,Improvement of visual servo system of industrial robot based on sliding mode control and deep reinforcement learning,2024,Theoretical and Natural Science,https://doi.org/10.54254/2753-8818/41/2024ch0168,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.18196/jrc.v4i6.19102,Visual Servo Kinematic Control of Delta Robot using YOLOv5 Algorithm,2023,Journal of Robotics and Control (JRC),https://doi.org/10.18196/jrc.v4i6.19102,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2409.15250v3,ReVLA: Reverting Visual Domain Limitation of Robotic Foundation Models,2024,arXiv,http://arxiv.org/abs/2409.15250v3,Addresses visual servoing and foundation policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visual servoing foundation model hybrid keeps action-critical alternatives explicit until a physical observation collapses them.
