method,split,regime,task,seed,episodes,success_rate,override_precision,unsafe_action_rate,tracking_error,damage_rate,latency_cost,calibration_error
foundation_policy_only,clean_deployment,nominal_view,eye_in_hand_peg_insert,0,84,0.797619,0.239920,0.301616,0.227933,0.118118,0.117644,0.131290
foundation_policy_only,clean_deployment,nominal_view,eye_in_hand_peg_insert,1,84,0.607143,0.240712,0.290216,0.227877,0.121531,0.119957,0.131507
foundation_policy_only,clean_deployment,nominal_view,eye_in_hand_peg_insert,2,84,0.750000,0.241504,0.290822,0.228301,0.119138,0.118936,0.131917
foundation_policy_only,clean_deployment,nominal_view,eye_in_hand_peg_insert,3,84,0.666667,0.242296,0.291428,0.220721,0.120947,0.120177,0.132327
foundation_policy_only,clean_deployment,nominal_view,eye_in_hand_peg_insert,4,84,0.678571,0.227080,0.292034,0.221145,0.121173,0.120466,0.132737
foundation_policy_only,clean_deployment,nominal_view,eye_in_hand_peg_insert,5,84,0.678571,0.227872,0.292640,0.221570,0.121636,0.120874,0.133146
foundation_policy_only,clean_deployment,nominal_view,eye_in_hand_peg_insert,6,84,0.666667,0.228664,0.293246,0.221994,0.114334,0.121401,0.133556
foundation_policy_only,clean_deployment,nominal_view,visual_grasp_centering,0,84,0.797619,0.234944,0.298412,0.194492,0.114420,0.123688,0.128927
foundation_policy_only,clean_deployment,nominal_view,visual_grasp_centering,1,84,0.678571,0.235736,0.299018,0.194917,0.117265,0.117282,0.129336
foundation_policy_only,clean_deployment,nominal_view,visual_grasp_centering,2,84,0.761905,0.236528,0.299624,0.195341,0.116061,0.116857,0.129746
foundation_policy_only,clean_deployment,nominal_view,visual_grasp_centering,3,84,0.726190,0.237320,0.300230,0.195765,0.117239,0.117622,0.130156
foundation_policy_only,clean_deployment,nominal_view,visual_grasp_centering,4,84,0.750000,0.238112,0.300836,0.196189,0.117226,0.117792,0.130565
foundation_policy_only,clean_deployment,nominal_view,visual_grasp_centering,5,84,0.619048,0.238904,0.301442,0.196614,0.120309,0.119510,0.130975
foundation_policy_only,clean_deployment,nominal_view,visual_grasp_centering,6,84,0.726190,0.239696,0.290042,0.196558,0.117769,0.118846,0.131193
foundation_policy_only,clean_deployment,nominal_view,drawer_handle_alignment,0,84,0.630952,0.227696,0.293744,0.214938,0.115133,0.122498,0.133488
foundation_policy_only,clean_deployment,nominal_view,drawer_handle_alignment,1,84,0.714286,0.228496,0.294356,0.215366,0.113934,0.122077,0.125898
foundation_policy_only,clean_deployment,nominal_view,drawer_handle_alignment,2,84,0.714286,0.229296,0.294968,0.215795,0.114402,0.122489,0.126311
foundation_policy_only,clean_deployment,nominal_view,drawer_handle_alignment,3,84,0.726190,0.230096,0.295580,0.216223,0.114632,0.122782,0.126725
foundation_policy_only,clean_deployment,nominal_view,drawer_handle_alignment,4,84,0.714286,0.230896,0.296192,0.216652,0.115338,0.123313,0.127139
foundation_policy_only,clean_deployment,nominal_view,drawer_handle_alignment,5,84,0.654762,0.231696,0.296804,0.217080,0.116996,0.124320,0.127553
foundation_policy_only,clean_deployment,nominal_view,drawer_handle_alignment,6,84,0.773810,0.232496,0.297416,0.217509,0.115083,0.123542,0.127967
foundation_policy_only,clean_deployment,nominal_view,cable_tip_alignment,0,84,0.666667,0.233248,0.292760,0.229958,0.122298,0.119769,0.126528
foundation_policy_only,clean_deployment,nominal_view,cable_tip_alignment,1,84,0.690476,0.234016,0.293348,0.230370,0.114268,0.119927,0.126926
foundation_policy_only,clean_deployment,nominal_view,cable_tip_alignment,2,84,0.630952,0.234784,0.293936,0.230781,0.115908,0.120918,0.127323
foundation_policy_only,clean_deployment,nominal_view,cable_tip_alignment,3,84,0.500000,0.235552,0.294524,0.231193,0.118976,0.122624,0.127720
foundation_policy_only,clean_deployment,nominal_view,cable_tip_alignment,4,84,0.642857,0.236320,0.295112,0.231604,0.116569,0.121591,0.128118
foundation_policy_only,clean_deployment,nominal_view,cable_tip_alignment,5,84,0.654762,0.237088,0.295700,0.232016,0.116780,0.121868,0.128515
foundation_policy_only,clean_deployment,nominal_view,cable_tip_alignment,6,84,0.607143,0.237856,0.296288,0.232428,0.118182,0.122741,0.128913
foundation_policy_only,clean_deployment,nominal_view,mobile_pick_reapproach,0,84,0.702381,0.237896,0.300098,0.213860,0.118342,0.117584,0.130254
foundation_policy_only,clean_deployment,nominal_view,mobile_pick_reapproach,1,84,0.714286,0.238688,0.300704,0.214284,0.118567,0.117873,0.130663
foundation_policy_only,clean_deployment,nominal_view,mobile_pick_reapproach,2,84,0.738095,0.239480,0.301310,0.214708,0.118554,0.118043,0.131073
foundation_policy_only,clean_deployment,nominal_view,mobile_pick_reapproach,3,84,0.678571,0.240272,0.301916,0.215133,0.120208,0.119046,0.131483
foundation_policy_only,clean_deployment,nominal_view,mobile_pick_reapproach,4,84,0.642857,0.241064,0.290516,0.215077,0.120526,0.119811,0.131700
foundation_policy_only,clean_deployment,nominal_view,mobile_pick_reapproach,5,84,0.702381,0.241856,0.291122,0.215501,0.119799,0.119624,0.132110
foundation_policy_only,clean_deployment,nominal_view,mobile_pick_reapproach,6,84,0.678571,0.242648,0.291728,0.207921,0.120418,0.120270,0.132520
foundation_policy_only,clean_deployment,lighting_shift,eye_in_hand_peg_insert,0,84,0.595238,0.234613,0.311109,0.226315,0.117065,0.124836,0.135533
foundation_policy_only,clean_deployment,lighting_shift,eye_in_hand_peg_insert,1,84,0.642857,0.235421,0.311727,0.226747,0.116586,0.124775,0.135951
foundation_policy_only,clean_deployment,lighting_shift,eye_in_hand_peg_insert,2,84,0.607143,0.236229,0.312345,0.227180,0.117773,0.125549,0.136369
foundation_policy_only,clean_deployment,lighting_shift,eye_in_hand_peg_insert,3,84,0.690476,0.221029,0.312963,0.227613,0.116578,0.125131,0.128783
foundation_policy_only,clean_deployment,lighting_shift,eye_in_hand_peg_insert,4,84,0.571429,0.221837,0.313581,0.228046,0.119432,0.126738,0.129200
foundation_policy_only,clean_deployment,lighting_shift,eye_in_hand_peg_insert,5,84,0.690476,0.222645,0.314199,0.228478,0.117524,0.125963,0.129618
foundation_policy_only,clean_deployment,lighting_shift,eye_in_hand_peg_insert,6,84,0.654762,0.223453,0.314817,0.228911,0.118710,0.126736,0.130036
foundation_policy_only,clean_deployment,lighting_shift,visual_grasp_centering,0,84,0.630952,0.230341,0.308433,0.201252,0.121381,0.122870,0.133530
foundation_policy_only,clean_deployment,lighting_shift,visual_grasp_centering,1,84,0.642857,0.231149,0.309051,0.201684,0.121616,0.123167,0.133948
foundation_policy_only,clean_deployment,lighting_shift,visual_grasp_centering,2,84,0.690476,0.231957,0.309669,0.202117,0.121136,0.123107,0.134366
foundation_policy_only,clean_deployment,lighting_shift,visual_grasp_centering,3,84,0.678571,0.232765,0.310287,0.202550,0.121847,0.123642,0.134784
foundation_policy_only,clean_deployment,lighting_shift,visual_grasp_centering,4,84,0.714286,0.233573,0.310905,0.194979,0.113281,0.123701,0.135202
foundation_policy_only,clean_deployment,lighting_shift,visual_grasp_centering,5,84,0.642857,0.234381,0.311523,0.195411,0.115182,0.124831,0.135620
