split,regime,task,seed,episodes,success_rate,override_precision,unsafe_action_rate,tracking_error,damage_rate,latency_cost,calibration_error,ablation,interpretation
combined_stress,nominal_view,eye_in_hand_peg_insert,0,84,0.726190,0.652919,0.081411,0.120277,0.035150,0.217833,0.058009,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,eye_in_hand_peg_insert,1,84,0.714286,0.637751,0.082053,0.120727,0.035879,0.218384,0.058443,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,eye_in_hand_peg_insert,2,84,0.690476,0.638591,0.082695,0.121177,0.036846,0.219054,0.058877,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,eye_in_hand_peg_insert,3,84,0.690476,0.639431,0.083337,0.121626,0.037337,0.219486,0.059312,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,eye_in_hand_peg_insert,4,84,0.833333,0.640271,0.083979,0.122076,0.034971,0.218489,0.059746,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,eye_in_hand_peg_insert,5,84,0.690476,0.641111,0.072615,0.122045,0.037459,0.220350,0.059988,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,eye_in_hand_peg_insert,6,84,0.630952,0.641951,0.073257,0.122495,0.039141,0.221377,0.060422,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,visual_grasp_centering,0,84,0.726190,0.650476,0.079513,0.087466,0.032625,0.216711,0.056447,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,visual_grasp_centering,1,84,0.821429,0.651316,0.080155,0.087916,0.031211,0.216190,0.056881,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,visual_grasp_centering,2,84,0.773810,0.652156,0.080797,0.088366,0.032654,0.217099,0.057315,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,visual_grasp_centering,3,84,0.666667,0.652996,0.081439,0.088815,0.035288,0.218602,0.057749,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,visual_grasp_centering,4,84,0.678571,0.653836,0.082081,0.089265,0.035541,0.218915,0.058184,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,visual_grasp_centering,5,84,0.785714,0.638668,0.082723,0.089715,0.033889,0.218276,0.058618,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,visual_grasp_centering,6,84,0.797619,0.639508,0.083365,0.090164,0.034142,0.218589,0.059052,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,drawer_handle_alignment,0,84,0.714286,0.646047,0.077316,0.117838,0.032348,0.215641,0.062749,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,drawer_handle_alignment,1,84,0.797619,0.646895,0.077964,0.110288,0.030857,0.215243,0.063187,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,drawer_handle_alignment,2,84,0.690476,0.647743,0.078612,0.110742,0.033495,0.216751,0.063626,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,drawer_handle_alignment,3,84,0.690476,0.648591,0.079260,0.111196,0.033991,0.217187,0.064064,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,drawer_handle_alignment,4,84,0.785714,0.649439,0.079908,0.111649,0.032581,0.216670,0.064502,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,drawer_handle_alignment,5,84,0.690476,0.650287,0.080556,0.112103,0.034982,0.218059,0.056937,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,drawer_handle_alignment,6,84,0.642857,0.651135,0.081204,0.112557,0.036429,0.218971,0.057375,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,cable_tip_alignment,0,84,0.690476,0.646510,0.073228,0.131017,0.038121,0.219480,0.061783,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,cable_tip_alignment,1,84,0.678571,0.647326,0.073852,0.131454,0.038836,0.220019,0.062205,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,cable_tip_alignment,2,84,0.642857,0.648142,0.074476,0.131891,0.040028,0.220796,0.062626,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,cable_tip_alignment,3,84,0.642857,0.648958,0.075100,0.132328,0.040505,0.221216,0.063048,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,cable_tip_alignment,4,84,0.666667,0.649774,0.075724,0.132765,0.032502,0.221398,0.063470,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,cable_tip_alignment,5,84,0.726190,0.650590,0.076348,0.125198,0.031468,0.221223,0.063892,full_servo_foundation_arbiter,all components
combined_stress,nominal_view,cable_tip_alignment,6,84,0.702381,0.651406,0.076972,0.125635,0.032422,0.221881,0.064314,full_servo_foundation_arbiter,all components
