cell_id,ablation,note,task,regime,split,seed,success_rate,utility,override_precision,unsafe_action_rate,tracking_error,damage_rate,latency_cost,calibration_error,abstention_rate,predicted_risk,realized_risk
1,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,0,0.828884,0.982825,0.750511,0.041143,0.059307,0.015018,0.185224,0.023393,0.061882,0.072619,0.045717
2,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,1,0.850236,1.011797,0.757999,0.037568,0.057731,0.013715,0.181176,0.021214,0.062257,0.067983,0.042507
3,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,2,0.839338,0.996358,0.753961,0.036668,0.060396,0.018706,0.182571,0.022269,0.061594,0.069604,0.045746
4,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,3,0.838570,0.992387,0.756211,0.040448,0.063456,0.018860,0.181168,0.023405,0.065629,0.074745,0.048527
5,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,4,0.827910,0.985909,0.753751,0.041113,0.057373,0.013487,0.180554,0.020368,0.062927,0.069264,0.043845
6,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,5,0.827976,0.986462,0.752815,0.036393,0.058526,0.015219,0.185408,0.022551,0.062412,0.070477,0.043231
7,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,6,0.830380,0.985805,0.751681,0.036943,0.062823,0.017721,0.182767,0.023089,0.065149,0.073022,0.045988
8,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,7,0.832824,0.987219,0.747817,0.040398,0.061346,0.013823,0.182299,0.022581,0.062069,0.068870,0.044969
9,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,8,0.814480,0.971782,0.751165,0.036628,0.060887,0.018588,0.181509,0.017340,0.063529,0.069749,0.044879
10,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,clean_deployment,9,0.833916,0.988160,0.757483,0.042908,0.059790,0.018288,0.181412,0.021986,0.062312,0.074582,0.048314
11,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,0,0.827758,0.975059,0.742217,0.042308,0.066801,0.015681,0.186299,0.023314,0.067187,0.077630,0.048295
